S.No,District,Number of Positive Cases,Positivity Rate,Achievement towards 1st Dosage Covishield 18+,Achievement towards 2nd Dosage Covishield  18+,Total Achievement towards 1st Dose of Covishield and Covaxin,Total Achievement towards 2nd Dose of Covishield and Covaxin,Total Achievement towards vaccination of Covishield and Covaxin (1st and 2nd Dose)
1,Ariyalur,16,1.6,93878,6169,196727,38680,235407
2,Chennai,183,0.8,662095,89809,2542245,1082332,3624577
3,Coimbatore,205,1.8,418387,19173,1170289,313901,1484190
4,Cuddalore,57,1.3,310026,6333,612752,119949,732701
5,Dharmapuri,21,1.1,229475,4172,446398,81128,527526
6,Dindigul,8,0.2,163038,8830,324812,73972,398784
7,Erode,152,1.5,310003,3814,697172,130664,827836
8,Kallakurichi,24,0.7,185438,2982,336941,51504,388445
9,Kancheepuram,31,0.5,176624,2478,298154,49102,347256
10,Kanniyakumari,25,0.7,252608,19062,573879,128317,702196
11,Karur,13,0.6,145082,13602,306036,63068,369104
12,Krishnagiri,20,1,328211,14321,593762,116051,709813
13,Madurai,14,0.2,304968,10588,740458,192993,933451
14,Mayiladuthurai,14,1.8,109366,5517,214557,37937,252494
15,Nagapattinam,48,2.7,105865,4452,210928,31105,242033
16,Namakkal,50,1.5,247355,13487,575070,137533,712603
17,Nilgiris,36,1.4,161418,15358,402618,127245,529863
18,Pudukkottai,25,1,132115,4106,263807,43336,307143
19,Ranipet,20,1.3,146269,3366,263975,45563,309538
20,Salem,79,1.2,357220,13380,757730,195691,953421
21,Sivaganga,21,1.3,192463,11124,390138,65838,455976
22,Thanjavur,95,2.5,293794,11976,619647,133999,753646
23,Theni,5,0.3,148910,12471,310232,86996,397228
24,Tiruchirappalli,52,1,339715,29945,789546,190990,980536
25,Tirunelveli,15,0.8,183346,8459,365717,76758,442475
26,Tiruppur,76,1.3,337354,8504,712324,137322,849646
27,Tiruvallur,58,1,248179,11228,479825,109280,589105
28,Tiruvannamalai,31,0.7,199176,7547,397747,55401,453148
29,Tiruvarur,39,1.3,179146,6480,358852,54535,413387
30,Vellore,27,1.1,140202,5905,396416,128202,524618
31,Villupuram,43,1.6,215779,3222,455226,79847,535073
32,Virudhunagar,6,0.2,107871,9034,262771,75489,338260
Total,Grand Total,1652,1,9290716,491982,20978894,5141730,26120624
